city,province,latitude,longitude,lease_term,type,price,beds,baths,sq_feet,furnishing,availability_date,smoking,cats,dogs
Brooks,Alberta,50.583181,-111.893984,Long Term,Townhouse,2090,2,1,902,Unfurnished,2025-02-21,Non-Smoking,True,True
Brooks,Alberta,50.5721986,-111.9106583,Long Term,Apartment,1775,2,1,771,Unfurnished,2025-02-21,Non-Smoking,True,True
Brooks,Alberta,50.5681068,-111.9019,Long Term,Apartment,1550,1,1,520,Unfurnished,2025-02-21,Non-Smoking,True,True
Brooks,Alberta,50.5681068,-111.9019,Long Term,Apartment,1425,1,1,520,Unfurnished,2025-02-21,Non-Smoking,True,True
Brooks,Alberta,50.5631754,-111.8894753,Long Term,Apartment,1385,1,1,560,Unfurnished,2025-02-21,Non-Smoking,True,True
Brooks,Alberta,50.5631754,-111.8894753,Long Term,Apartment,1625,2,1,770,Unfurnished,2025-02-21,Non-Smoking,True,True
Brooks,Alberta,50.5631754,-111.8894753,Long Term,Apartment,1511,1,1,560,Unfurnished,2025-02-21,Non-Smoking,True,True
Brooks,Alberta,50.57104,-111.899639,Long Term,Apartment,1715,2,1,800,Unfurnished,2025-02-21,Non-Smoking,True,True
Brooks,Alberta,50.57104,-111.899639,Long Term,Apartment,1590,2,1,800,Unfurnished,2025-02-21,Non-Smoking,True,True
Brooks,Alberta,50.57104,-111.899639,Long Term,Apartment,1765,2,1,800,Unfurnished,2025-02-21,Non-Smoking,True,True
Brooks,Alberta,50.57104,-111.899639,Long Term,Apartment,1425,1,1,580,Unfurnished,2025-02-21,Non-Smoking,True,True
Brooks,Alberta,50.5678457,-111.8771813,Long Term,Apartment,1490,1,1,510,Unfurnished,2025-02-21,Non-Smoking,True,True
Brooks,Alberta,50.5678457,-111.8771813,Long Term,Apartment,1365,1,1,510,Unfurnished,2025-02-21,Non-Smoking,True,True
Brooks,Alberta,50.5678457,-111.8771813,Long Term,Apartment,1620,2,1,800,Unfurnished,2025-02-21,Non-Smoking,True,True
Brooks,Alberta,50.5721322,-111.9133726,Long Term,Apartment,1650,2,1,791,Unfurnished,2025-02-21,Non-Smoking,True,True
Brooks,Alberta,50.5721322,-111.9133726,Long Term,Apartment,1635,1,1,625,Unfurnished,2025-02-21,Non-Smoking,True,True
Brooks,Alberta,50.5652126,-111.8778149,Long Term,Apartment,1375,1,1,550,Unfurnished,2025-02-21,Non-Smoking,True,True
Brooks,Alberta,50.5652126,-111.8778149,Long Term,Apartment,1500,1,1,550,Unfurnished,2025-02-21,Non-Smoking,True,True
